기간,항목,표준화계수,t값,유의
20거래일(약1개월),추세,-0.553,-1.09,
20거래일(약1개월),거래량,0.813,1.41,
20거래일(약1개월),모멘텀,0.602,0.96,
20거래일(약1개월),패턴점수,-1.439,-2.02,*
20거래일(약1개월),리스크,0.582,1.93,
60거래일(약3개월),추세,-0.032,-0.04,
60거래일(약3개월),거래량,0.914,0.88,
60거래일(약3개월),모멘텀,1.152,1.02,
60거래일(약3개월),패턴점수,-2.063,-1.61,
60거래일(약3개월),리스크,1.666,3.07,**
120거래일(약6개월),추세,0.332,0.22,
120거래일(약6개월),거래량,2.124,1.24,
120거래일(약6개월),모멘텀,1.163,0.62,
120거래일(약6개월),패턴점수,-1.74,-0.82,
120거래일(약6개월),리스크,2.469,2.74,**
