종목명,종목코드,시장,현재가_num,52주최고,고점 / 하락률,PER,PBR,ROE,부채비율,배당수익률,데이터출처
아이패밀리에스씨,114840,코스닥,8450.0,27000.0,-68.7037037037037,7.84,1.36,22.28,36.26794258373206,3.5384615384615383,🌐 실시간 보완
케이카,381970,코스피,7460.0,16970.0,-56.040070713022985,7.77,1.65,22.63,138.6607142857143,16.0857908847185,🌐 실시간 보완
한텍,098070,코스닥,24300.0,62200.0,-60.932475884244376,7.31,1.62,22.45,41.37931034482759,1.5432098765432098,🌐 실시간 보완
STX엔진,077970,코스피,23550.0,67700.0,-65.21418020679468,12.59,2.62,22.26,237.56197142023913,0.0,🌐 실시간 보완
세미티에스,000nan,코스닥,2850.0,2850.0,0.0,7.74,2.04,21.92,38.227146814404435,0.0,🌐 실시간 보완
엠플러스,259630,코스닥,9040.0,20100.0,-55.024875621890544,3.82,0.96,22.12,136.66666666666666,2.2123893805309733,🌐 실시간 보완
지엔씨에너지,119850,코스닥,43700.0,51900.0,-15.79961464354528,18.33,3.07,21.15,67.40406320541761,0.34324942791762014,🌐 실시간 보완
삼양컴텍,484590,코스닥,5900.0,22650.0,-73.9514348785872,10.52,1.53,21.6,53.1629392971246,0.0,🌐 실시간 보완
액스비스,000nan,코스닥,8500.0,8500.0,0.0,11.82,1.43,21.4,157.65124555160142,0.0,🌐 실시간 보완
효성ITX,094280,코스피,12040.0,13900.0,-13.381294964028779,10.14,1.94,21.21,160.0532623169108,6.229235880398671,🌐 실시간 보완
세경하이테크,148150,코스닥,3050.0,6720.0,-54.613095238095234,3.59,0.61,22.13,47.63527907967619,3.278688524590164,🌐 실시간 보완
오파스넷,173130,코스닥,5850.0,8570.0,-31.738623103850642,5.44,1.2,21.36,129.73805855161785,4.273504273504273,🌐 실시간 보완
대웅제약,069620,코스피,114700.0,199400.0,-42.47743229689067,6.65,1.29,21.75,108.23125055080638,0.5231037489102005,🌐 실시간 보완
에스앤에스텍,101490,코스닥,42050.0,108400.0,-61.208487084870846,14.97,2.76,21.24,29.191321499013807,0.47562425683709864,🌐 실시간 보완
메쎄이상,408920,코스닥,2915.0,4385.0,-33.52337514253136,7.31,1.56,20.79,21.35678391959799,4.116638078902231,🌐 실시간 보완
전진건설로봇,079900,코스피,32250.0,74350.0,-56.62407531943511,15.11,3.07,20.58,46.99872286079182,4.306976744186047,🌐 실시간 보완
아이윈,090150,코스닥,499.0,1050.0,-52.476190476190474,2.15,0.41,20.77,162.62425447316102,0.0,🌐 실시간 보완
티앤엘,340570,코스닥,61400.0,68000.0,-9.705882352941178,12.91,2.39,20.44,7.902584493041749,2.44299674267101,🌐 실시간 보완
다원넥스뷰,323350,코스닥,7030.0,28100.0,-74.98220640569396,13.34,2.86,20.38,71.42857142857143,0.0,🌐 실시간 보완
보성파워텍,006910,코스닥,6030.0,18200.0,-66.86813186813187,12.28,2.57,20.26,20.852221214868543,0.0,🌐 실시간 보완
현대엘리베이터,017800,코스피,68100.0,113400.0,-39.94708994708995,10.47,2.58,20.11,157.76100803101633,20.572687224669604,🌐 실시간 보완
오킨스전자,080580,코스닥,11120.0,27500.0,-59.56363636363636,20.04,3.7,19.93,88.58267716535433,0.0,🌐 실시간 보완
서전기전,189860,코스닥,3950.0,11500.0,-65.65217391304347,5.1,1.12,19.86,79.42708333333334,0.0,🌐 실시간 보완
영우디에스피,143540,코스닥,1015.0,1698.0,-40.22379269729093,4.39,1.27,19.84,127.57475083056478,0.0,🌐 실시간 보완
KT밀리의서재,418470,코스닥,10450.0,16850.0,-37.98219584569733,5.44,1.04,20.03,26.69735327963176,5.263157894736842,🌐 실시간 보완
하나투어,039130,코스피,30950.0,56700.0,-45.41446208112875,11.24,3.3,19.79,293.47695990424893,3.877221324717286,🌐 실시간 보완
코세스,089890,코스닥,20800.0,51400.0,-59.53307392996109,27.73,3.85,19.58,24.561403508771928,0.0,🌐 실시간 보완
휴메딕스,200670,코스닥,24800.0,72400.0,-65.74585635359117,5.42,0.89,19.61,8.046744574290484,3.7096774193548385,🌐 실시간 보완
티에프이,425420,코스닥,33600.0,77700.0,-56.75675675675676,20.68,3.23,19.3,31.5018315018315,0.0,🌐 실시간 보완
유비온,084440,코스닥,998.0,1366.0,-26.939970717423133,38.38,2.41,19.36,194.80519480519482,0.0,🌐 실시간 보완
까뮤이앤씨,013700,코스피,1449.0,1636.0,-11.430317848410757,3.39,0.73,19.4,165.3914590747331,2.070393374741201,🌐 실시간 보완
매커스,093520,코스닥,21550.0,33850.0,-36.336779911373704,14.07,1.56,19.3,86.36003172085647,5.56844547563805,🌐 실시간 보완
더즌,462860,코스닥,1964.0,5920.0,-66.82432432432432,11.98,1.88,19.29,162.36413043478262,1.5274949083503055,🌐 실시간 보완
한국카본,017960,코스피,21650.0,54100.0,-59.98151571164511,11.77,1.84,19.3,79.83106360972246,1.4780600461893765,🌐 실시간 보완
코스메카코리아,241710,코스닥,81200.0,106400.0,-23.684210526315788,15.74,3.41,19.29,87.92385484830459,0.45566502463054187,🌐 실시간 보완
나노,187790,코스닥,2685.0,7560.0,-64.48412698412699,33.56,2.04,19.01,136.68341708542712,0.0,🌐 실시간 보완
에스텍,069510,코스닥,12620.0,16700.0,-24.431137724550897,3.55,0.44,18.98,46.93617021276596,6.735340729001585,🌐 실시간 보완
코미코,183300,코스닥,54400.0,139200.0,-60.91954022988506,23.09,3.92,18.52,178.58301784748514,1.3106617647058825,🌐 실시간 보완
비츠로셀,082920,코스닥,29800.0,67800.0,-56.04719764011799,21.06,3.94,18.56,12.193645990922844,0.87248322147651,🌐 실시간 보완
코리아에프티,123410,코스닥,5460.0,9550.0,-42.82722513089005,3.64,0.56,18.48,95.8816922500936,3.6630036630036633,🌐 실시간 보완
금호타이어,073240,코스피,6740.0,7840.0,-14.030612244897958,5.6,0.86,18.53,147.44271228838167,0.0,🌐 실시간 보완
아이지넷,462980,코스닥,1246.0,2730.0,-54.35897435897436,7.6,1.01,18.38,127.60180995475112,0.0,🌐 실시간 보완
이노테크,469610,코스닥,11980.0,85000.0,-85.90588235294118,10.08,1.62,18.16,46.18973561430793,0.0,🌐 실시간 보완
현대글로비스,086280,코스피,201500.0,296000.0,-31.925675675675674,9.02,1.45,18.13,78.92264448808287,2.8784119106699753,🌐 실시간 보완
디와이피엔에프,104460,코스닥,8690.0,20500.0,-57.60975609756097,4.84,0.56,18.26,64.81975967957277,8.05523590333717,🌐 실시간 보완
코웨이,021240,코스피,93300.0,110500.0,-15.565610859728507,10.14,1.77,18.14,93.71004787337078,2.097534833869239,🌐 실시간 보완
메가스터디교육,215200,코스닥,41600.0,51000.0,-18.43137254901961,5.1,0.89,18.03,72.14752208989627,7.211538461538461,🌐 실시간 보완
HD한국조선해양,009540,코스피,372500.0,494500.0,-24.67138523761375,10.47,1.94,17.78,133.86265916739117,3.302013422818792,🌐 실시간 보완
일승,333430,코스닥,4020.0,10430.0,-61.45733461169702,13.44,2.55,17.79,42.180616740088105,0.0,🌐 실시간 보완
시공테크,020710,코스닥,3560.0,5990.0,-40.56761268781302,2.72,0.38,17.77,29.040948275862068,9.52247191011236,🌐 실시간 보완
티쓰리,204610,코스닥,3075.0,3795.0,-18.972332015810274,10.32,1.68,17.72,12.941176470588237,4.5528455284552845,🌐 실시간 보완
모두투어,080160,코스닥,8700.0,17500.0,-50.28571428571429,13.34,1.72,17.71,150.27027027027026,0.0,🌐 실시간 보완
엔투텍,227950,코스닥,1131.0,3775.0,-70.03973509933775,8.77,0.31,17.7,16.67971808927173,0.0,🌐 실시간 보완
NICE평가정보,030190,코스피,14210.0,18500.0,-23.18918918918919,10.11,1.81,17.62,37.69968051118211,3.589021815622801,🌐 실시간 보완
LG씨엔에스,064400,코스피,63900.0,153300.0,-58.31702544031311,13.41,2.12,17.35,79.68043515213327,2.895148669796557,🌐 실시간 보완
JW중외제약,001060,코스피,24000.0,39250.0,-38.853503184713375,8.36,1.52,17.6,63.86031402273957,2.7083333333333335,🌐 실시간 보완
동방선기,099410,코스닥,2950.0,7340.0,-59.80926430517711,4.52,0.8,17.34,34.33734939759036,0.0,🌐 실시간 보완
NHN KCP,060250,코스닥,12600.0,25500.0,-50.588235294117645,9.81,1.58,16.35,119.46107784431138,1.984126984126984,🌐 실시간 보완
