Date,Adj Close,Close,High,Low,Open,Volume
2021-07-28,23904.51953125,24950.0,25100.0,24650.0,24750.0,1228156
2021-07-29,24000.328125,25050.0,25150.0,24950.0,25050.0,911607
2021-07-30,23856.615234375,24900.0,25100.0,24850.0,25050.0,1641089
2021-08-02,24335.6640625,25400.0,25600.0,24950.0,25000.0,2970439
2021-08-03,24239.8515625,25300.0,25500.0,25100.0,25450.0,1775821
2021-08-04,24335.6640625,25400.0,25400.0,25150.0,25300.0,1469529
2021-08-05,24239.8515625,25300.0,25450.0,25250.0,25400.0,1242593
2021-08-06,24383.568359375,25450.0,25500.0,25150.0,25300.0,1749047
2021-08-09,24191.947265625,25250.0,25550.0,25200.0,25500.0,1547366
2021-08-10,24191.947265625,25250.0,25350.0,25100.0,25250.0,1368529
2021-08-11,24000.328125,25050.0,25300.0,25000.0,25200.0,1673495
2021-08-12,23904.51953125,24950.0,25200.0,24900.0,25150.0,2078895
2021-08-13,23712.900390625,24750.0,25100.0,24500.0,25000.0,2783942
2021-08-17,23233.8515625,24250.0,24750.0,24200.0,24750.0,2618645
2021-08-18,23377.56640625,24400.0,24550.0,24050.0,24100.0,1432293
2021-08-19,22658.9921875,23650.0,24450.0,23650.0,24450.0,3184990
2021-08-20,22802.70703125,23800.0,24150.0,23600.0,23750.0,2077156
2021-08-23,22946.421875,23950.0,24200.0,23850.0,23900.0,1305626
2021-08-24,23138.04296875,24150.0,24250.0,24000.0,24000.0,1333512
2021-08-25,23138.04296875,24150.0,24250.0,24000.0,24150.0,1073496
2021-08-26,22850.611328125,23850.0,24150.0,23850.0,24100.0,1780343
2021-08-27,22850.611328125,23850.0,24000.0,23700.0,23800.0,1423230
2021-08-30,22802.70703125,23800.0,24000.0,23750.0,23900.0,1332607
2021-08-31,22994.326171875,24000.0,24000.0,23600.0,23800.0,1893955
2021-09-01,23042.23046875,24050.0,24300.0,23850.0,23950.0,1374393
2021-09-02,22850.611328125,23850.0,24100.0,23800.0,24000.0,1419796
2021-09-03,22754.802734375,23750.0,24050.0,23750.0,24050.0,1579545
2021-09-06,22946.421875,23950.0,23950.0,23700.0,23800.0,1232336
2021-09-07,22802.70703125,23800.0,23950.0,23800.0,23850.0,878167
2021-09-08,22419.466796875,23400.0,23800.0,23400.0,23700.0,3016739
2021-09-09,22179.943359375,23150.0,23500.0,23150.0,23300.0,2378160
2021-09-10,22371.5625,23350.0,23450.0,23100.0,23200.0,1397853
2021-09-13,22850.611328125,23850.0,24250.0,23650.0,23800.0,3446628
2021-09-14,22802.70703125,23800.0,24000.0,23700.0,23950.0,1777746
2021-09-15,22994.326171875,24000.0,24300.0,23800.0,23850.0,2196195
2021-09-16,23233.8515625,24250.0,24300.0,23950.0,23950.0,1605275
2021-09-17,23473.375,24500.0,24500.0,24050.0,24250.0,2393322
2021-09-23,23185.947265625,24200.0,25500.0,24100.0,25300.0,9022665
2021-09-24,22802.70703125,23800.0,24200.0,23650.0,24050.0,3276572
2021-09-27,22850.611328125,23850.0,24050.0,23800.0,23850.0,1471035
2021-09-28,22563.18359375,23550.0,23850.0,23500.0,23800.0,2005579
2021-09-29,22658.9921875,23650.0,23750.0,23200.0,23300.0,1856988
2021-09-30,22563.18359375,23550.0,23700.0,23450.0,23500.0,1048831
2021-10-01,22467.375,23450.0,23850.0,23400.0,23400.0,1472942
2021-10-05,22323.658203125,23300.0,23600.0,23100.0,23400.0,1851813
2021-10-06,21940.419921875,22900.0,23450.0,22800.0,23300.0,2783681
2021-10-07,22036.23046875,23000.0,23200.0,22800.0,22950.0,1488314
2021-10-08,21844.611328125,22800.0,23050.0,22700.0,23000.0,1580781
2021-10-12,21317.658203125,22250.0,22800.0,22200.0,22650.0,2293639
2021-10-13,21892.515625,22850.0,22950.0,22150.0,22150.0,1921397
2021-10-14,21796.705078125,22750.0,23000.0,22700.0,22950.0,2048599
2021-10-15,21988.326171875,22950.0,23200.0,22800.0,22800.0,2138130
2021-10-18,21988.326171875,22950.0,23100.0,22850.0,23000.0,1283441
2021-10-19,21988.326171875,22950.0,23100.0,22900.0,23000.0,899851
2021-10-20,21796.705078125,22750.0,23000.0,22700.0,22950.0,1254138
2021-10-21,22227.849609375,23200.0,23200.0,22800.0,22800.0,1616739
2021-10-22,21988.326171875,22950.0,23200.0,22900.0,23200.0,884957
