Date,Adj Close,Close,High,Low,Open,Volume
2021-07-28,430155.78125,442000.0,447000.0,440000.0,446000.0,913055
2021-07-29,427722.78125,439500.0,445000.0,438500.0,444000.0,556532
2021-07-30,421883.53125,433500.0,440500.0,433000.0,438000.0,628812
2021-08-02,421883.53125,433500.0,437000.0,428500.0,429000.0,551937
2021-08-03,416530.90625,428000.0,439000.0,422000.0,439000.0,830841
2021-08-04,421396.90625,433000.0,434500.0,423000.0,425000.0,545873
2021-08-05,430642.3125,442500.0,451500.0,438500.0,442000.0,744924
2021-08-06,432588.75,444500.0,447500.0,440500.0,443000.0,416829
2021-08-09,435508.4375,447500.0,449000.0,435000.0,438000.0,528032
2021-08-10,434535.15625,446500.0,453500.0,442500.0,446000.0,461940
2021-08-11,433075.3125,445000.0,449000.0,442000.0,445000.0,446275
2021-08-12,428695.9375,440500.0,448500.0,438000.0,448000.0,671083
2021-08-13,424803.09375,436500.0,446000.0,433000.0,445000.0,515855
2021-08-17,417017.5,428500.0,437500.0,420000.0,435500.0,763564
2021-08-18,417504.09375,429000.0,433500.0,421500.0,429500.0,496576
2021-08-19,413124.6875,424500.0,434000.0,424500.0,431000.0,504352
2021-08-20,411178.3125,422500.0,432000.0,421000.0,425000.0,587940
2021-08-23,417990.71875,429500.0,436000.0,423500.0,428000.0,515679
2021-08-24,425776.34375,437500.0,439000.0,431500.0,435000.0,546884
2021-08-25,418963.90625,430500.0,439000.0,427000.0,434000.0,677224
2021-08-26,412151.5,423500.0,430500.0,420000.0,427500.0,645901
2021-08-27,408745.25,420000.0,423500.0,416500.0,422000.0,567004
2021-08-30,416530.90625,428000.0,429000.0,423000.0,425500.0,399336
2021-08-31,427236.125,439000.0,439500.0,427000.0,430000.0,768823
2021-09-01,433075.3125,445000.0,448500.0,436500.0,442000.0,655075
2021-09-02,430642.3125,442500.0,448500.0,439500.0,445500.0,431529
2021-09-03,440374.40625,452500.0,452500.0,441000.0,442500.0,646199
2021-09-06,441834.1875,454000.0,454500.0,445500.0,452500.0,368743
2021-09-07,432588.75,444500.0,453000.0,444000.0,450500.0,356293
2021-09-08,398526.65625,409500.0,439000.0,408000.0,437500.0,2470864
