Date,Adj Close,Close,High,Low,Open,Volume
2021-07-28,792279.4375,835000.0,836000.0,827000.0,831000.0,252183
2021-07-29,792279.4375,835000.0,843000.0,831000.0,843000.0,142235
2021-07-30,798921.375,842000.0,857000.0,836000.0,845000.0,318555
2021-08-02,819795.8125,864000.0,865000.0,830000.0,848000.0,314349
2021-08-03,809358.5625,853000.0,872000.0,850000.0,872000.0,224682
2021-08-04,812205.125,856000.0,862000.0,832000.0,846000.0,227941
2021-08-05,813154.0,857000.0,862000.0,845000.0,849000.0,228011
2021-08-06,798921.375,842000.0,860000.0,841000.0,859000.0,181169
2021-08-09,802716.6875,846000.0,847000.0,835000.0,843000.0,162031
2021-08-10,808409.6875,852000.0,855000.0,840000.0,852000.0,200490
2021-08-11,807460.875,851000.0,863000.0,842000.0,855000.0,232194
2021-08-12,833079.5,878000.0,879000.0,856000.0,861000.0,448345
2021-08-13,850158.625,896000.0,899000.0,878000.0,882000.0,398111
2021-08-17,847312.125,893000.0,903000.0,885000.0,900000.0,286560
2021-08-18,850158.625,896000.0,908000.0,885000.0,907000.0,166366
2021-08-19,848260.9375,894000.0,900000.0,887000.0,892000.0,250867
2021-08-20,852056.25,898000.0,910000.0,892000.0,903000.0,220082
2021-08-23,757172.4375,798000.0,869000.0,789000.0,865000.0,944586
2021-08-24,746735.25,787000.0,810000.0,772000.0,775000.0,895863
2021-08-25,758121.375,799000.0,805000.0,790000.0,791000.0,459360
2021-08-26,747684.125,788000.0,802000.0,785000.0,798000.0,240562
2021-08-27,742939.9375,783000.0,788000.0,757000.0,782000.0,353049
2021-08-30,730605.0625,770000.0,789000.0,767000.0,787000.0,252845
2021-08-31,719218.9375,758000.0,777000.0,752000.0,770000.0,577128
2021-09-01,684111.9375,721000.0,766000.0,721000.0,763000.0,906907
2021-09-02,674623.625,711000.0,721000.0,705000.0,715000.0,781458
2021-09-03,687907.3125,725000.0,726000.0,696000.0,703000.0,718380
2021-09-06,711628.25,750000.0,754000.0,717000.0,720000.0,545952
2021-09-07,719218.9375,758000.0,761000.0,747000.0,757000.0,411836
2021-09-08,717321.25,756000.0,760000.0,749000.0,758000.0,301550
2021-09-09,709730.5625,748000.0,752000.0,739000.0,748000.0,313846
2021-09-10,702139.875,740000.0,753000.0,740000.0,748000.0,267584
2021-09-13,708781.8125,747000.0,747000.0,727000.0,734000.0,312766
2021-09-14,696446.875,734000.0,748000.0,729000.0,744000.0,243009
2021-09-15,681265.5625,718000.0,725000.0,706000.0,723000.0,457453
2021-09-16,679367.875,716000.0,723000.0,713000.0,716000.0,251126
2021-09-17,665135.1875,701000.0,713000.0,701000.0,712000.0,337421
2021-09-23,721116.625,760000.0,760000.0,701000.0,712000.0,762911
2021-09-24,722065.5,761000.0,770000.0,746000.0,770000.0,399539
2021-09-27,730605.0625,770000.0,770000.0,757000.0,763000.0,234240
2021-09-28,736298.0625,776000.0,783000.0,765000.0,777000.0,293276
2021-09-29,727758.5625,767000.0,769000.0,749000.0,762000.0,346422
2021-09-30,736298.0625,776000.0,780000.0,748000.0,754000.0,365073
2021-10-01,730605.0625,770000.0,781000.0,764000.0,778000.0,231735
2021-10-05,708781.8125,747000.0,769000.0,737000.0,767000.0,289280
2021-10-06,704986.4375,743000.0,770000.0,743000.0,750000.0,274023
2021-10-07,699293.4375,737000.0,750000.0,722000.0,743000.0,255037
2021-10-08,724912.0,764000.0,768000.0,742000.0,749000.0,306286
2021-10-12,755274.8125,796000.0,797000.0,770000.0,779000.0,504233
2021-10-13,766660.875,808000.0,813000.0,782000.0,797000.0,341155
2021-10-14,804614.4375,848000.0,848000.0,825000.0,831000.0,472154
2021-10-15,793228.3125,836000.0,848000.0,831000.0,835000.0,206286
2021-10-18,784688.8125,827000.0,849000.0,825000.0,827000.0,185465
2021-10-19,788484.0625,831000.0,841000.0,827000.0,837000.0,130673
2021-10-20,797023.6875,840000.0,863000.0,840000.0,847000.0,273548
2021-10-21,764763.1875,806000.0,833000.0,802000.0,823000.0,262926
2021-10-22,776149.25,818000.0,828000.0,807000.0,807000.0,160106
2021-10-25,778995.8125,821000.0,829000.0,800000.0,813000.0,170671
2021-10-26,787535.3125,830000.0,844000.0,826000.0,840000.0,175513
2021-10-27,782791.0625,825000.0,832000.0,811000.0,827000.0,153039
2021-10-28,806512.0,850000.0,864000.0,828000.0,831000.0,416963
2021-10-29,793228.3125,836000.0,860000.0,836000.0,850000.0,316682
2021-11-01,789432.9375,832000.0,849000.0,825000.0,849000.0,219710
2021-11-02,788484.0625,831000.0,856000.0,827000.0,840000.0,143263
2021-11-03,743888.75,784000.0,819000.0,780000.0,818000.0,380709
2021-11-04,749581.8125,790000.0,802000.0,785000.0,796000.0,287067
2021-11-05,745786.5,786000.0,800000.0,779000.0,800000.0,173098
2021-11-08,731553.875,771000.0,792000.0,766000.0,792000.0,171469
2021-11-09,729656.1875,769000.0,778000.0,759000.0,771000.0,214251
2021-11-10,701191.0,739000.0,758000.0,733000.0,758000.0,258543
2021-11-11,718270.125,757000.0,769000.0,742000.0,746000.0,279482
2021-11-12,734400.4375,774000.0,774000.0,757000.0,767000.0,195369
2021-11-15,725860.9375,765000.0,780000.0,751000.0,773000.0,167747
2021-11-16,737246.8125,777000.0,785000.0,765000.0,773000.0,188716
2021-11-17,729656.1875,769000.0,787000.0,765000.0,785000.0,131941
2021-11-18,736298.0625,776000.0,780000.0,760000.0,773000.0,148071
2021-11-19,719218.9375,758000.0,779000.0,755000.0,770000.0,232115
2021-11-22,725860.9375,765000.0,765000.0,751000.0,758000.0,200500
2021-11-23,702139.875,740000.0,768000.0,739000.0,765000.0,222133
2021-11-24,708781.8125,747000.0,757000.0,740000.0,747000.0,206853
2021-11-25,701191.0,739000.0,748000.0,737000.0,741000.0,112764
2021-11-26,684111.9375,721000.0,740000.0,720000.0,734000.0,201250
2021-11-29,675572.4375,712000.0,723000.0,710000.0,715000.0,171460
2021-11-30,658493.375,694000.0,716000.0,694000.0,709000.0,395074
2021-12-01,681265.5625,718000.0,722000.0,696000.0,702000.0,251126
2021-12-02,689805.0625,727000.0,734000.0,711000.0,734000.0,268812
2021-12-03,680316.6875,717000.0,727000.0,711000.0,727000.0,229502
2021-12-06,680316.6875,717000.0,722000.0,706000.0,722000.0,140266
2021-12-07,674623.625,711000.0,726000.0,708000.0,720000.0,173785
2021-12-08,712577.1875,751000.0,754000.0,718000.0,719000.0,463760
2021-12-09,708781.8125,747000.0,764000.0,745000.0,759000.0,371186
2021-12-10,702139.875,740000.0,746000.0,729000.0,737000.0,267924
2021-12-13,700242.25,738000.0,745000.0,731000.0,740000.0,217195
2021-12-14,665135.1875,701000.0,729000.0,699000.0,724000.0,436465
2021-12-15,660391.0625,696000.0,703000.0,695000.0,697000.0,228912
2021-12-16,668930.5625,705000.0,714000.0,699000.0,706000.0,226179
2021-12-17,661339.9375,697000.0,703000.0,695000.0,698000.0,231327
2021-12-20,622437.5625,656000.0,702000.0,648000.0,701000.0,556191
2021-12-21,609153.875,642000.0,658000.0,636000.0,656000.0,503987
2021-12-22,593023.5625,625000.0,645000.0,622000.0,640000.0,522225
2021-12-23,601563.0625,634000.0,635000.0,625000.0,627000.0,273757
2021-12-24,589228.25,621000.0,640000.0,620000.0,638000.0,292150
2021-12-27,594921.25,627000.0,632000.0,616000.0,620000.0,147200
2021-12-28,599665.5,632000.0,633000.0,624000.0,630000.0,181706
2021-12-29,607403.0625,628000.0,632000.0,624000.0,629000.0,161669
2021-12-30,594829.4375,615000.0,630000.0,611000.0,630000.0,243420
2022-01-04,622878.25,644000.0,645000.0,620000.0,626000.0,406952
2022-01-05,642222.3125,664000.0,666000.0,635000.0,652000.0,523345
2022-01-06,667369.625,690000.0,691000.0,662000.0,670000.0,692603
2022-01-07,695418.5,719000.0,722000.0,691000.0,720000.0,836306
2022-01-10,686713.625,710000.0,732000.0,695000.0,732000.0,549323
2022-01-11,709926.5,734000.0,735000.0,707000.0,708000.0,462973
2022-01-12,747647.375,773000.0,774000.0,747000.0,750000.0,646296
2022-01-13,730237.75,755000.0,767000.0,742000.0,766000.0,545491
2022-01-14,692516.9375,716000.0,752000.0,712000.0,746000.0,319701
2022-01-17,683812.0625,707000.0,732000.0,698000.0,713000.0,281141
2022-01-18,671238.4375,694000.0,720000.0,691000.0,713000.0,245949
2022-01-19,631583.125,653000.0,693000.0,643000.0,690000.0,440752
2022-01-20,673172.8125,696000.0,697000.0,633000.0,640000.0,450658
2022-01-21,671238.4375,694000.0,710000.0,679000.0,697000.0,324652
2022-01-24,648992.8125,671000.0,694000.0,663000.0,693000.0,246196
2022-01-25,621911.125,643000.0,668000.0,630000.0,654000.0,349700
2022-01-26,621911.125,643000.0,643000.0,643000.0,643000.0,0
2022-01-27,589993.375,610000.0,669000.0,605000.0,644000.0,882032
2022-01-28,618042.3125,639000.0,643000.0,622000.0,628000.0,528869
2022-02-03,654795.9375,677000.0,691000.0,661000.0,677000.0,356414
2022-02-04,655763.1875,678000.0,687000.0,668000.0,680000.0,217715
2022-02-07,618042.3125,639000.0,677000.0,638000.0,676000.0,317108
2022-02-08,618042.3125,639000.0,639000.0,639000.0,639000.0,0
2022-02-09,618042.3125,639000.0,639000.0,639000.0,639000.0,0
2022-02-10,639320.8125,661000.0,666000.0,613000.0,613000.0,694375
2022-02-11,612239.0625,633000.0,658000.0,633000.0,645000.0,310519
2022-02-14,598698.25,619000.0,640000.0,618000.0,632000.0,219372
2022-02-15,601599.875,622000.0,654000.0,622000.0,630000.0,277189
2022-02-16,631583.125,653000.0,657000.0,636000.0,650000.0,380506
2022-02-17,619009.5,640000.0,654000.0,635000.0,650000.0,294891
2022-02-18,608370.25,629000.0,648000.0,629000.0,633000.0,182644
2022-02-21,608370.25,629000.0,629000.0,629000.0,629000.0,0
2022-02-22,608370.25,629000.0,629000.0,629000.0,629000.0,0
2022-02-23,608370.25,629000.0,629000.0,629000.0,629000.0,0
2022-02-24,530994.125,549000.0,580000.0,548000.0,577000.0,498865
2022-02-25,535830.0625,554000.0,564000.0,546000.0,562000.0,371646
2022-02-28,535830.0625,554000.0,554000.0,554000.0,554000.0,0
2022-03-02,536797.375,555000.0,565000.0,549000.0,565000.0,276155
2022-03-03,539698.875,558000.0,565000.0,551000.0,559000.0,228286
2022-03-04,539698.875,558000.0,558000.0,558000.0,558000.0,0
2022-03-07,497142.0,514000.0,526000.0,503000.0,522000.0,454602
2022-03-08,486502.75,503000.0,513000.0,498000.0,501000.0,289591
2022-03-10,486502.75,503000.0,503000.0,503000.0,503000.0,0
2022-03-11,456519.5,472000.0,499500.0,469500.0,496000.0,713668
2022-03-14,442011.5,457000.0,472000.0,454000.0,465000.0,617168
2022-03-15,442011.5,457000.0,457000.0,457000.0,457000.0,0
2022-03-16,427503.4375,442000.0,446500.0,437000.0,446000.0,425454
2022-03-17,427503.4375,442000.0,442000.0,442000.0,442000.0,0
2022-03-18,472478.34375,488500.0,491500.0,473000.0,480000.0,559378
2022-03-21,472478.34375,488500.0,488500.0,488500.0,488500.0,0
2022-03-22,475863.53125,492000.0,497000.0,487500.0,496500.0,222919
2022-03-23,491338.8125,508000.0,510000.0,494500.0,497500.0,307359
2022-03-24,513584.40625,531000.0,532000.0,512000.0,518000.0,523564
2022-03-25,508748.40625,526000.0,537000.0,520000.0,536000.0,322408
2022-03-28,505846.84375,523000.0,530000.0,510000.0,527000.0,186517
2022-03-29,505846.84375,523000.0,532000.0,522000.0,528000.0,144803
2022-03-30,507781.21875,525000.0,531000.0,521000.0,528000.0,175835
2022-03-31,514551.65625,532000.0,534000.0,517000.0,523000.0,169611
2022-04-01,505846.84375,523000.0,545000.0,520000.0,538000.0,198741
2022-04-04,508748.40625,526000.0,527000.0,516000.0,522000.0,95926
2022-04-05,522289.25,540000.0,546000.0,534000.0,537000.0,225685
2022-04-06,512617.28125,530000.0,539000.0,529000.0,536000.0,125060
2022-04-07,501010.8125,518000.0,524000.0,511000.0,519000.0,196367
2022-04-08,507781.21875,525000.0,527000.0,513000.0,518000.0,128480
2022-04-11,493273.1875,510000.0,524000.0,507000.0,518000.0,111018
2022-04-12,488437.1875,505000.0,509000.0,497000.0,497000.0,149845
2022-04-13,501010.8125,518000.0,518000.0,505000.0,507000.0,89777
2022-04-14,497142.0,514000.0,519000.0,510000.0,510000.0,126954
