Date,Adj Close,Close,High,Low,Open,Volume
2021-07-28,41203.8046875,52500.0,52600.0,51600.0,51700.0,1101854
2021-07-29,41282.2734375,52600.0,53100.0,52500.0,53000.0,1150868
2021-07-30,40261.9921875,51300.0,52000.0,50500.0,50600.0,1698067
2021-08-02,39948.05859375,50900.0,51400.0,50600.0,51200.0,1091630
2021-08-03,40497.4453125,51600.0,51600.0,50600.0,51100.0,1043675
2021-08-04,41360.765625,52700.0,52900.0,51700.0,52100.0,1333664
2021-08-05,40811.38671875,52000.0,52900.0,52000.0,52400.0,927728
2021-08-06,40968.34765625,52200.0,53300.0,51900.0,52500.0,1270530
2021-08-09,41596.21484375,53000.0,53200.0,52500.0,52600.0,1879902
2021-08-10,41046.828125,52300.0,53200.0,52100.0,53200.0,1162055
2021-08-11,42067.12109375,53600.0,53600.0,52500.0,52600.0,1802909
2021-08-12,41910.14453125,53400.0,54000.0,53100.0,54000.0,1578901
2021-08-13,41753.1875,53200.0,53800.0,52200.0,53800.0,1382277
2021-08-17,41753.1875,53200.0,53600.0,52700.0,53500.0,1440176
2021-08-18,41596.21484375,53000.0,53500.0,52700.0,53000.0,917398
2021-08-19,40261.9921875,51300.0,52900.0,51000.0,52900.0,1269467
2021-08-20,39869.58203125,50800.0,51800.0,50200.0,51400.0,1843597
2021-08-23,40105.03125,51100.0,51800.0,50800.0,50900.0,1017940
2021-08-24,41203.8046875,52500.0,52600.0,51400.0,51500.0,1402216
2021-08-25,42145.59765625,53700.0,53800.0,52600.0,53100.0,1215743
2021-08-26,42538.01171875,54200.0,54700.0,52900.0,53900.0,2216554
2021-08-27,42930.4375,54700.0,54800.0,53600.0,54100.0,1461836
2021-08-30,41203.8046875,52500.0,54800.0,52500.0,54800.0,1885591
2021-08-31,41517.72265625,52900.0,53100.0,51200.0,52300.0,2261916
2021-09-01,41674.69921875,53100.0,53400.0,52700.0,53300.0,1121570
2021-09-02,41674.69921875,53100.0,53600.0,52500.0,52900.0,1487899
2021-09-03,41517.72265625,52900.0,53200.0,52600.0,52900.0,1134378
2021-09-06,40654.41015625,51800.0,52900.0,51500.0,52900.0,1528452
2021-09-07,40340.484375,51400.0,51900.0,51200.0,51600.0,993703
2021-09-08,41203.8046875,52500.0,52500.0,51400.0,51400.0,1697491
2021-09-09,40654.41015625,51800.0,52500.0,51800.0,51900.0,1304317
2021-09-10,40418.96875,51500.0,52000.0,51100.0,51900.0,1371352
2021-09-13,40654.41015625,51800.0,51900.0,51100.0,51300.0,948301
2021-09-14,41046.828125,52300.0,53000.0,52200.0,52200.0,2061406
2021-09-15,41360.765625,52700.0,53000.0,51700.0,51800.0,1095987
2021-09-16,40889.859375,52100.0,53100.0,51800.0,52900.0,974810
2021-09-17,40889.859375,52100.0,52200.0,51800.0,52100.0,914476
2021-09-23,40418.96875,51500.0,51900.0,50800.0,51200.0,1181357
2021-09-24,41596.21484375,53000.0,53200.0,52000.0,52200.0,1358283
2021-09-27,41517.72265625,52900.0,53500.0,52100.0,52100.0,1014095
2021-09-28,42773.46484375,54500.0,54700.0,53400.0,53900.0,2317955
2021-09-29,43322.8515625,55200.0,55300.0,54000.0,54600.0,2471338
2021-09-30,43401.328125,55300.0,55800.0,54800.0,55200.0,1198334
2021-10-01,43322.8515625,55200.0,55600.0,54800.0,55600.0,1563801
2021-10-05,43008.9140625,54800.0,55400.0,54100.0,54300.0,1505488
2021-10-06,42538.01171875,54200.0,55500.0,54100.0,55300.0,1234783
2021-10-07,43793.75,55800.0,55800.0,54800.0,54900.0,1350703
2021-10-08,43244.37109375,55100.0,55500.0,54700.0,55100.0,1029116
2021-10-12,42851.94921875,54600.0,55000.0,53300.0,54000.0,1672336
2021-10-13,42145.59765625,53700.0,54400.0,53600.0,53800.0,1082239
2021-10-14,42851.94921875,54600.0,54800.0,53800.0,54600.0,1223866
2021-10-15,43793.75,55800.0,55900.0,54200.0,54200.0,1385071
2021-10-18,43872.234375,55900.0,56300.0,55200.0,56000.0,848627
2021-10-19,43479.8125,55400.0,56100.0,55000.0,55700.0,726488
2021-10-20,44029.19921875,56100.0,56400.0,55200.0,55600.0,1221886
2021-10-21,45049.48828125,57400.0,57400.0,55700.0,56300.0,1812633
2021-10-22,45206.44921875,57600.0,58200.0,57000.0,57100.0,1476494
2021-10-25,46383.7109375,59100.0,59300.0,57600.0,58000.0,1912966
2021-10-26,46383.7109375,59100.0,59400.0,58200.0,59300.0,1311289
2021-10-27,45991.29296875,58600.0,59400.0,58300.0,59200.0,1371500
2021-10-28,45363.42578125,57800.0,59200.0,57700.0,58800.0,2055977
2021-10-29,44421.62109375,56600.0,58500.0,56100.0,57900.0,1747964
2021-11-01,44578.5859375,56800.0,57200.0,56300.0,57000.0,1034399
2021-11-02,44735.5546875,57000.0,57900.0,56500.0,57100.0,1226486
2021-11-03,43479.8125,55400.0,57100.0,55200.0,57000.0,972628
2021-11-04,43950.71484375,56000.0,56700.0,55700.0,56200.0,1102324
2021-11-05,43244.37109375,55100.0,56000.0,54400.0,55500.0,1337402
2021-11-08,43401.328125,55300.0,55500.0,54300.0,55400.0,681934
2021-11-09,43793.75,55800.0,56300.0,54800.0,55200.0,1028240
2021-11-10,43793.75,55800.0,56300.0,55200.0,55200.0,765574
2021-11-11,43872.234375,55900.0,56500.0,55300.0,56400.0,1082231
2021-11-12,44264.65234375,56400.0,56500.0,55800.0,56500.0,687470
2021-11-15,44186.1640625,56300.0,56400.0,55600.0,56000.0,908971
2021-11-16,44657.0703125,56900.0,56900.0,55900.0,56400.0,834355
2021-11-17,43872.234375,55900.0,56900.0,55600.0,56700.0,823002
2021-11-18,43793.75,55800.0,55900.0,54700.0,55400.0,863089
2021-11-19,44500.1015625,56700.0,56700.0,54700.0,54700.0,1022217
2021-11-22,44264.65234375,56400.0,56800.0,55700.0,55900.0,1115756
2021-11-23,44814.03515625,57100.0,58000.0,56600.0,56800.0,1564146
2021-11-24,45206.44921875,57600.0,58200.0,57300.0,57900.0,1269042
2021-11-25,44814.03515625,57100.0,57700.0,56600.0,56700.0,846949
2021-11-26,43793.75,55800.0,57000.0,55500.0,56900.0,1005921
2021-11-29,43401.328125,55300.0,56000.0,54300.0,54900.0,1155738
2021-11-30,41439.25,52800.0,54900.0,52200.0,54600.0,3787449
2021-12-01,42302.5625,53900.0,54200.0,52400.0,53300.0,1403246
2021-12-02,43165.87890625,55000.0,55000.0,52600.0,52700.0,928830
2021-12-03,44735.5546875,57000.0,57000.0,54600.0,55100.0,1554736
2021-12-06,44735.5546875,57000.0,57500.0,56200.0,57000.0,902870
2021-12-07,45049.48828125,57400.0,57500.0,56500.0,56500.0,819690
2021-12-08,45127.96875,57500.0,58400.0,57300.0,57400.0,1138515
2021-12-09,45206.44921875,57600.0,57900.0,56600.0,57400.0,1587365
2021-12-10,45441.90234375,57900.0,58200.0,56800.0,57500.0,1268070
2021-12-13,45127.96875,57500.0,58700.0,57200.0,57900.0,875843
2021-12-14,45049.48828125,57400.0,57600.0,56700.0,56900.0,664523
2021-12-15,44971.0078125,57300.0,57400.0,56300.0,57300.0,607229
2021-12-16,44421.62109375,56600.0,57400.0,56200.0,56800.0,818664
2021-12-17,45834.31640625,58400.0,58400.0,56300.0,56600.0,1714082
2021-12-20,44578.5859375,56800.0,57900.0,56700.0,57600.0,883171
2021-12-21,44892.51953125,57200.0,57700.0,56900.0,57500.0,756164
2021-12-22,44814.03515625,57100.0,57600.0,56900.0,57000.0,525681
2021-12-23,45049.48828125,57400.0,57600.0,57000.0,57600.0,624055
2021-12-24,45049.48828125,57400.0,57900.0,57300.0,57400.0,512369
2021-12-27,44500.1015625,56700.0,57600.0,56700.0,57500.0,725512
2021-12-28,44578.5859375,56800.0,57200.0,56500.0,57200.0,1454159
2021-12-29,45223.46484375,55400.0,55500.0,54600.0,55000.0,1160250
2021-12-30,44896.9375,55000.0,55600.0,54800.0,55100.0,716768
2022-01-04,46039.7734375,56400.0,56400.0,55600.0,55800.0,927067
2022-01-05,46203.0390625,56600.0,57100.0,55800.0,56400.0,1429634
2022-01-06,45549.9921875,55800.0,56900.0,55500.0,56600.0,988985
2022-01-07,45468.36328125,55700.0,56100.0,54800.0,56000.0,1193940
2022-01-10,47182.609375,57800.0,58100.0,55900.0,56100.0,1944937
2022-01-11,48978.48046875,60000.0,60000.0,58100.0,58300.0,3039380
2022-01-12,50529.4765625,61900.0,62000.0,59600.0,60100.0,2905914
2022-01-13,50855.99609375,62300.0,62300.0,61200.0,62300.0,1673509
2022-01-14,50774.36328125,62200.0,63000.0,60700.0,62000.0,1504980
2022-01-17,49958.0625,61200.0,62100.0,60800.0,62000.0,1391788
2022-01-18,50366.203125,61700.0,62300.0,61000.0,61300.0,1148864
2022-01-19,50529.4765625,61900.0,63400.0,61200.0,61700.0,1465535
2022-01-20,48570.33203125,59500.0,61900.0,59300.0,61900.0,1735684
2022-01-21,49223.3828125,60300.0,60400.0,59300.0,59500.0,1622020
2022-01-24,47998.9140625,58800.0,60700.0,57900.0,60600.0,1241129
2022-01-25,46611.19140625,57100.0,58400.0,56100.0,57900.0,1693689
2022-01-26,46611.19140625,57100.0,57100.0,57100.0,57100.0,0
2022-01-27,47345.87109375,58000.0,59600.0,57200.0,58300.0,1435153
