Date,Adj Close,Close,High,Low,Open,Volume
2021-07-28,18222.21484375,19125.0,19175.0,18600.0,18775.0,1278986
2021-07-29,17579.078125,18450.0,19400.0,18375.0,19275.0,1642624
2021-07-30,17459.978515625,18325.0,18925.0,18250.0,18250.0,1405004
2021-08-02,17841.09765625,18725.0,18725.0,18200.0,18525.0,988264
2021-08-03,17864.916015625,18750.0,19450.0,18600.0,18825.0,1459730
2021-08-04,17721.998046875,18600.0,19075.0,18375.0,19075.0,901542
2021-08-05,17745.818359375,18625.0,18825.0,18400.0,18625.0,745942
2021-08-06,17555.259765625,18425.0,18700.0,18400.0,18700.0,682826
2021-08-09,17864.916015625,18750.0,18800.0,18200.0,18250.0,992102
2021-08-10,17364.69921875,18225.0,18825.0,18225.0,18775.0,981666
2021-08-11,16864.482421875,17700.0,18400.0,17525.0,18225.0,1338970
2021-08-12,17102.68359375,17950.0,18200.0,17200.0,17575.0,1172442
2021-08-13,16292.806640625,17100.0,17900.0,16900.0,17825.0,1656808
2021-08-17,15864.0458984375,16650.0,17350.0,16500.0,17100.0,1128656
2021-08-18,16054.60546875,16850.0,16950.0,16125.0,16600.0,940300
2021-08-19,15101.8115234375,15850.0,16925.0,15850.0,16525.0,1279496
2021-08-20,15292.369140625,16050.0,16450.0,15850.0,16100.0,1206362
2021-08-23,15816.4072265625,16600.0,16850.0,16425.0,16525.0,1020794
2021-08-24,16388.083984375,17200.0,17225.0,16700.0,17150.0,899386
2021-08-25,16602.462890625,17425.0,17925.0,17350.0,17925.0,1384978
2021-08-26,16602.462890625,17425.0,17775.0,17350.0,17750.0,556540
2021-08-27,16435.724609375,17250.0,17425.0,17025.0,17425.0,438266
2021-08-30,16364.263671875,17175.0,17525.0,17025.0,17475.0,396124
2021-08-31,16459.544921875,17275.0,17400.0,16900.0,17100.0,497640
2021-09-01,16292.806640625,17100.0,17350.0,17000.0,17200.0,347016
2021-09-02,16197.5263671875,17000.0,17200.0,16900.0,17175.0,301022
2021-09-03,16221.3447265625,17025.0,17125.0,16850.0,17125.0,557464
2021-09-06,15864.0458984375,16650.0,17050.0,16525.0,17025.0,1110196
2021-09-07,15602.02734375,16375.0,16750.0,16325.0,16750.0,773970
2021-09-08,15506.7490234375,16275.0,16525.0,16025.0,16250.0,697696
2021-09-09,15292.369140625,16050.0,16350.0,16050.0,16075.0,549872
2021-09-10,15363.8291015625,16125.0,16250.0,15925.0,16075.0,477666
2021-09-13,15220.91015625,15975.0,16275.0,15900.0,16000.0,489480
