Date,Adj Close,Close,High,Low,Open,Volume
2021-07-28,35073.1875,41900.0,42400.0,40500.0,40900.0,4391411
2021-07-29,34152.41015625,40800.0,42350.0,40800.0,42150.0,3232947
2021-07-30,33482.75390625,40000.0,40800.0,39200.0,40700.0,7263308
2021-08-02,32352.716796875,38650.0,39800.0,38500.0,39800.0,5647561
2021-08-03,31473.787109375,37600.0,39100.0,37250.0,38400.0,7344471
2021-08-04,33064.22265625,39500.0,40000.0,36550.0,37000.0,11844208
2021-08-05,33064.22265625,39500.0,40150.0,38900.0,39650.0,3402658
2021-08-06,33440.8984375,39950.0,41100.0,39500.0,39550.0,4346848
2021-08-09,33189.78515625,39650.0,40600.0,39300.0,40050.0,2863882
2021-08-10,32478.275390625,38800.0,39750.0,38650.0,39650.0,2936459
2021-08-11,33608.3125,40150.0,40500.0,38200.0,38350.0,4417580
2021-08-12,34026.84765625,40650.0,40650.0,38850.0,39650.0,4552345
2021-08-13,32771.24609375,39150.0,41800.0,39100.0,41250.0,5819721
2021-08-17,32269.005859375,38550.0,39550.0,38450.0,39150.0,3753754
2021-08-18,34194.265625,40850.0,41250.0,38200.0,38350.0,7791614
2021-08-19,31808.6171875,38000.0,40400.0,37850.0,40350.0,8440888
2021-08-20,31976.029296875,38200.0,39050.0,37700.0,38450.0,4360505
2021-08-23,31264.5234375,37350.0,38750.0,36700.0,37750.0,5576653
2021-08-24,32896.80859375,39300.0,39850.0,37550.0,37750.0,6276753
2021-08-25,33189.78515625,39650.0,40450.0,38650.0,38950.0,4132592
2021-08-26,34026.84765625,40650.0,41200.0,39900.0,39950.0,4006516
2021-08-27,34277.96875,40950.0,41300.0,40400.0,40950.0,3060729
2021-08-30,34319.82421875,41000.0,41600.0,40850.0,41550.0,2277733
2021-08-31,35156.89453125,42000.0,42000.0,40200.0,40950.0,4248085
2021-09-01,35156.89453125,42000.0,42700.0,41400.0,41850.0,3699042
2021-09-02,33733.875,40300.0,43850.0,40250.0,43600.0,7238325
2021-09-03,32896.80859375,39300.0,41300.0,39050.0,41050.0,5958674
2021-09-06,32352.716796875,38650.0,39800.0,38400.0,38900.0,3891472
2021-09-07,32185.296875,38450.0,39000.0,38350.0,38350.0,2720697
2021-09-08,32310.86328125,38600.0,39550.0,38350.0,38350.0,3665572
2021-09-09,31808.6171875,38000.0,39000.0,37700.0,38800.0,3413300
2021-09-10,32017.88671875,38250.0,38650.0,37500.0,37900.0,2817680
2021-09-13,32017.88671875,38250.0,38550.0,37850.0,37900.0,1710658
2021-09-14,32101.591796875,38350.0,38800.0,38050.0,38250.0,2566010
2021-09-15,32143.44140625,38400.0,38600.0,38100.0,38200.0,2068975
2021-09-16,31766.765625,37950.0,39300.0,37850.0,38600.0,3085336
2021-09-17,32269.005859375,38550.0,38550.0,37500.0,38000.0,5550458
2021-09-23,31683.056640625,37850.0,38250.0,37600.0,38050.0,2175612
2021-09-24,31850.470703125,38050.0,38450.0,37750.0,38050.0,2112017
2021-09-27,32143.44140625,38400.0,39100.0,37950.0,38100.0,3089068
2021-09-28,31934.17578125,38150.0,38900.0,38050.0,38850.0,1818195
2021-09-29,30804.13671875,36800.0,37900.0,36150.0,37800.0,4575600
2021-09-30,28209.224609375,33700.0,36700.0,33600.0,36500.0,9109475
2021-10-01,26618.791015625,31800.0,34350.0,31250.0,32500.0,12590270
2021-10-05,25363.189453125,30300.0,31100.0,29500.0,30900.0,11217687
2021-10-06,24316.8515625,29050.0,30950.0,28750.0,30450.0,7671175
2021-10-07,26367.669921875,31500.0,31550.0,29400.0,29600.0,8407452
2021-10-08,24316.8515625,29050.0,32050.0,28900.0,32050.0,10014881
2021-10-12,24233.142578125,28950.0,29950.0,28400.0,28900.0,4887028
2021-10-13,24526.119140625,29300.0,29650.0,28850.0,29000.0,3087269
2021-10-14,25028.359375,29900.0,31050.0,29400.0,30200.0,7597299
2021-10-15,25112.06640625,30000.0,31250.0,29900.0,30400.0,5453731
2021-10-18,24358.705078125,29100.0,30150.0,28900.0,30100.0,3695159
2021-10-19,25112.06640625,30000.0,30350.0,29250.0,29250.0,4328663
2021-10-20,24442.41015625,29200.0,30350.0,29150.0,30350.0,3508550
2021-10-21,24609.826171875,29400.0,29900.0,29250.0,29400.0,2494422
2021-10-22,24233.142578125,28950.0,29500.0,28750.0,29400.0,2609333
2021-10-25,24693.533203125,29500.0,29650.0,28700.0,29000.0,2924186
2021-10-26,24609.826171875,29400.0,29650.0,29050.0,29600.0,2632093
2021-10-27,22517.154296875,26900.0,27750.0,26000.0,27400.0,20253787
2021-10-28,22307.88671875,26650.0,27200.0,26300.0,26400.0,6312791
2021-10-29,22307.88671875,26650.0,27150.0,26500.0,26700.0,3682478
2021-11-01,22391.591796875,26750.0,27150.0,26450.0,26650.0,3004920
2021-11-02,22935.689453125,27400.0,28150.0,26800.0,26950.0,5772143
2021-11-03,22391.591796875,26750.0,28000.0,26700.0,28000.0,3516384
2021-11-04,22600.861328125,27000.0,27650.0,26850.0,26950.0,2772909
2021-11-05,22349.740234375,26700.0,27200.0,26400.0,27000.0,2349352
2021-11-08,22517.154296875,26900.0,27150.0,26650.0,27050.0,2197196
2021-11-09,22349.740234375,26700.0,27350.0,26600.0,26850.0,2136641
2021-11-10,22349.740234375,26700.0,27700.0,26300.0,26550.0,4612042
2021-11-11,22977.541015625,27450.0,27500.0,26800.0,26850.0,4046607
2021-11-12,22851.982421875,27300.0,30250.0,27200.0,27650.0,12906813
2021-11-15,23019.39453125,27500.0,27800.0,27250.0,27400.0,4081515
2021-11-16,22475.298828125,26850.0,27500.0,26550.0,27500.0,4048488
2021-11-17,21638.23046875,25850.0,26900.0,25600.0,26850.0,5573705
2021-11-18,21638.23046875,25850.0,26150.0,24650.0,25850.0,4779979
2021-11-19,21428.96484375,25600.0,26000.0,25150.0,25500.0,2998615
2021-11-22,21554.5234375,25750.0,26350.0,25400.0,25500.0,2940451
2021-11-23,21010.427734375,25100.0,26050.0,25050.0,25750.0,3188923
2021-11-24,20926.720703125,25000.0,25300.0,24400.0,25050.0,3683016
2021-11-25,20801.162109375,24850.0,25400.0,24650.0,25050.0,1835835
2021-11-26,20466.3359375,24450.0,25350.0,24050.0,24900.0,3437153
2021-11-29,20717.455078125,24750.0,25350.0,23400.0,23500.0,5287452
2021-11-30,19754.826171875,23600.0,25450.0,23250.0,25400.0,4134454
2021-12-01,20801.162109375,24850.0,25300.0,23400.0,23700.0,5974541
2021-12-02,22098.6171875,26400.0,26600.0,24400.0,24500.0,7577808
2021-12-03,22433.4453125,26800.0,27500.0,26050.0,27150.0,6085215
2021-12-06,22726.419921875,27150.0,27800.0,26550.0,26800.0,4534653
2021-12-07,23312.369140625,27850.0,27950.0,26650.0,27300.0,3642734
2021-12-08,22935.689453125,27400.0,28250.0,27300.0,28050.0,2976593
2021-12-09,23144.953125,27650.0,27900.0,27000.0,27500.0,2098100
2021-12-10,22893.8359375,27350.0,27800.0,27300.0,27400.0,1319837
2021-12-13,23647.197265625,28250.0,28950.0,27650.0,27650.0,4837597
2021-12-14,23772.7578125,28400.0,28850.0,27950.0,28600.0,2633341
2021-12-15,22642.712890625,27050.0,28350.0,26900.0,28300.0,3906787
2021-12-16,23521.634765625,28100.0,28100.0,27000.0,27100.0,3170773
2021-12-17,24107.583984375,28800.0,29050.0,27900.0,28000.0,4958057
2021-12-20,23437.9296875,28000.0,29000.0,27650.0,28800.0,2871710
2021-12-21,23772.7578125,28400.0,28800.0,27950.0,28000.0,2453863
2021-12-22,23312.369140625,27850.0,28650.0,27300.0,28550.0,2376087
2021-12-23,23563.48828125,28150.0,28500.0,27750.0,27850.0,2246656
2021-12-24,23144.953125,27650.0,28400.0,27650.0,28250.0,1589299
2021-12-27,22182.326171875,26500.0,27800.0,26300.0,27800.0,2956549
2021-12-28,21345.255859375,25500.0,26800.0,25200.0,26450.0,6618850
2021-12-29,23659.80078125,27600.0,27650.0,26050.0,26200.0,5332646
2021-12-30,23059.736328125,26900.0,27600.0,26700.0,27600.0,2187686
2022-01-04,23402.6328125,27300.0,27600.0,26900.0,27250.0,1215935
2022-01-05,23531.216796875,27450.0,28350.0,27050.0,27300.0,3298920
2022-01-06,22545.392578125,26300.0,27400.0,26200.0,27000.0,2358598
2022-01-07,22631.115234375,26400.0,26500.0,25850.0,26250.0,1489092
2022-01-10,22459.66796875,26200.0,26500.0,25900.0,26150.0,1470458
2022-01-11,22073.91015625,25750.0,26450.0,25500.0,25950.0,1472434
2022-01-12,22588.251953125,26350.0,26450.0,25750.0,25750.0,1286258
2022-01-13,22502.53125,26250.0,26750.0,26000.0,26500.0,1336667
2022-01-14,21602.4296875,25200.0,26050.0,25000.0,26000.0,2718361
2022-01-17,21473.841796875,25050.0,26200.0,25000.0,25250.0,2819887
2022-01-18,21173.806640625,24700.0,25300.0,24600.0,25050.0,1536216
