Date,Adj Close,Close,High,Low,Open,Volume
2021-07-28,52597.765625,70057.8125,70057.8125,68255.6875,68480.953125,829032
2021-07-29,52851.45703125,70395.71875,70958.8828125,70057.8125,70170.4453125,647318
2021-07-30,50906.53515625,67805.15625,70283.0859375,67805.15625,70283.0859375,1492624
2021-08-02,51075.6484375,68030.421875,68480.953125,66791.453125,68143.0546875,916568
2021-08-03,51752.1484375,68931.484375,69269.3828125,67917.7890625,68143.0546875,501712
2021-08-04,51836.70703125,69044.1171875,69269.3828125,67805.15625,68368.3203125,623049
2021-08-05,51836.70703125,69044.1171875,69719.9140625,68593.5859375,68931.484375,549110
2021-08-06,51667.58984375,68818.8515625,69382.015625,68255.6875,68818.8515625,558499
2021-08-09,51075.6484375,68030.421875,68818.8515625,67805.15625,68706.21875,568180
2021-08-10,51160.2265625,68143.0546875,68706.21875,67692.5234375,68143.0546875,538349
2021-08-11,49638.0859375,66115.65625,68818.8515625,65777.7578125,68480.953125,1443846
2021-08-12,52851.45703125,70395.71875,70508.3515625,67917.7890625,69269.3828125,3052529
2021-08-13,51752.1484375,68931.484375,70620.984375,68706.21875,70620.984375,1233841
2021-08-17,49468.95703125,65890.390625,69269.3828125,65552.4921875,68931.484375,2111629
2021-08-18,49807.2109375,66340.921875,67692.5234375,66340.921875,66340.921875,1328316
2021-08-19,49046.16015625,65327.22265625,66904.0859375,65327.22265625,66453.5546875,1103174
2021-08-20,48115.96484375,64088.2578125,65777.7578125,63637.7265625,65665.125,1789464
2021-08-23,49553.5234375,66003.0234375,66678.8203125,64651.42578125,65552.4921875,1209888
2021-08-24,50060.90625,66678.8203125,67129.3515625,65890.390625,66115.65625,985855
2021-08-25,49722.65625,66228.2890625,67805.15625,65890.390625,67016.71875,1165607
2021-08-26,49130.71484375,65439.85546875,67692.5234375,65101.95703125,67241.984375,1449218
2021-08-27,48707.90234375,64876.69140625,66003.0234375,64651.42578125,65665.125,974207
2021-08-30,49299.8359375,65665.125,66115.65625,64989.32421875,65777.7578125,1621472
2021-08-31,50399.14453125,67129.3515625,68818.8515625,65214.58984375,65777.7578125,13929807
2021-09-01,52936.015625,70508.3515625,70733.6171875,67692.5234375,67917.7890625,3442170
2021-09-02,52090.38671875,69382.015625,70508.3515625,69156.75,69945.1796875,1507478
2021-09-03,51667.58984375,68818.8515625,69719.9140625,68255.6875,69269.3828125,1185974
2021-09-06,51752.1484375,68931.484375,70057.8125,67917.7890625,68706.21875,1221731
2021-09-07,50821.97265625,67692.5234375,69269.3828125,67467.25,68480.953125,1253867
2021-09-08,50991.08984375,67917.7890625,68931.484375,67467.25,67467.25,1475396
2021-09-09,50991.08984375,67917.7890625,69156.75,67805.15625,68030.421875,2172792
2021-09-10,51921.2734375,69156.75,69719.9140625,68143.0546875,68368.3203125,1036781
2021-09-13,51160.2265625,68143.0546875,69044.1171875,67917.7890625,68593.5859375,766572
2021-09-14,51329.33203125,68368.3203125,69269.3828125,68143.0546875,68480.953125,630107
2021-09-15,51244.76171875,68255.6875,68818.8515625,67917.7890625,68143.0546875,772974
2021-09-16,51075.6484375,68030.421875,68818.8515625,68030.421875,68255.6875,543010
2021-09-17,50906.53515625,67805.15625,68480.953125,67692.5234375,68030.421875,1161545
2021-09-23,52428.6328125,69832.546875,70057.8125,67241.984375,67354.6171875,1468089
2021-09-24,52174.9609375,69494.6484375,70283.0859375,69269.3828125,69945.1796875,786637
2021-09-27,53950.76953125,71859.9453125,73098.9140625,69269.3828125,69269.3828125,1857858
2021-09-28,53358.82421875,71071.515625,72197.84375,70958.8828125,71634.6796875,1376180
2021-09-29,54583.01171875,71859.9453125,72648.375,69945.1796875,70170.4453125,1663537
2021-09-30,55438.55859375,72986.28125,74112.609375,72085.2109375,72310.4765625,2366266
2021-10-01,55951.8671875,73662.078125,73887.34375,72535.7421875,72873.640625,1366840
2021-10-05,54754.12890625,72085.2109375,74112.609375,71747.3125,72873.640625,2209123
2021-10-06,53813.02734375,70846.25,72761.0078125,70846.25,72310.4765625,1458837
2021-10-07,53984.1328125,71071.515625,72197.84375,70733.6171875,71522.046875,1324170
2021-10-08,52101.96484375,68593.5859375,71071.515625,68030.421875,70733.6171875,1985166
2021-10-12,51417.54296875,67692.5234375,69832.546875,67692.5234375,68593.5859375,1677299
2021-10-13,51759.765625,68143.0546875,69044.1171875,67692.5234375,68143.0546875,1328711
2021-10-14,51759.765625,68143.0546875,68931.484375,67354.6171875,68593.5859375,1637333
2021-10-15,51331.984375,67579.8828125,68480.953125,67467.25,67917.7890625,1596843
2021-10-18,50647.5625,66678.8203125,67805.15625,66003.0234375,67692.5234375,1812734
2021-10-19,51246.4375,67467.25,68480.953125,66791.453125,67129.3515625,1399414
2021-10-20,51075.33203125,67241.984375,67692.5234375,66453.5546875,67579.8828125,1556171
2021-10-21,50989.77734375,67129.3515625,68255.6875,66791.453125,67579.8828125,1841549
2021-10-22,53385.2578125,70283.0859375,70620.984375,67241.984375,67354.6171875,2795251
2021-10-25,52957.4921875,69719.9140625,71747.3125,68706.21875,71071.515625,5550661
2021-10-26,52957.4921875,69719.9140625,69719.9140625,69719.9140625,69719.9140625,0
2021-10-27,52957.4921875,69719.9140625,69719.9140625,69719.9140625,69719.9140625,0
2021-10-28,52957.4921875,69719.9140625,69719.9140625,69719.9140625,69719.9140625,0
2021-10-29,52957.4921875,69719.9140625,69719.9140625,69719.9140625,69719.9140625,0
2021-11-01,52957.4921875,69719.9140625,69719.9140625,69719.9140625,69719.9140625,0
2021-11-02,52957.4921875,69719.9140625,69719.9140625,69719.9140625,69719.9140625,0
2021-11-03,52957.4921875,69719.9140625,69719.9140625,69719.9140625,69719.9140625,0
2021-11-04,52957.4921875,69719.9140625,69719.9140625,69719.9140625,69719.9140625,0
