Date,Adj Close,Close,High,Low,Open,Volume
2021-07-28,156075.421875,164000.0,165500.0,161000.0,162500.0,676883
2021-07-29,158454.609375,166500.0,167000.0,164000.0,165500.0,770794
2021-07-30,149889.53125,157500.0,165500.0,157500.0,165000.0,2178044
2021-08-02,148937.84375,156500.0,158500.0,155000.0,157500.0,809541
2021-08-03,148937.84375,156500.0,158000.0,155500.0,157000.0,716492
2021-08-04,152268.71875,160000.0,160500.0,157000.0,158000.0,691765
2021-08-05,150365.359375,158000.0,160000.0,158000.0,159500.0,560669
2021-08-06,149413.671875,157000.0,159000.0,156500.0,158500.0,413308
2021-08-09,153220.390625,161000.0,162000.0,157000.0,157500.0,1152308
2021-08-10,149889.53125,157500.0,162000.0,157000.0,162000.0,859174
2021-08-11,148462.015625,156000.0,158500.0,155500.0,157500.0,536980
2021-08-12,145606.96875,153000.0,157500.0,153000.0,156000.0,981866
2021-08-13,143227.75,150500.0,154000.0,148000.0,153500.0,916837
2021-08-17,143703.609375,151000.0,153500.0,150000.0,150500.0,779899
2021-08-18,146082.8125,153500.0,154000.0,150000.0,150500.0,652995
2021-08-19,140848.5625,148000.0,153000.0,148000.0,151500.0,737444
2021-08-20,139421.015625,146500.0,150500.0,146000.0,148500.0,802093
2021-08-23,133711.0,140500.0,146000.0,138000.0,145500.0,1780072
2021-08-24,135138.484375,142000.0,144500.0,138500.0,141000.0,1375732
2021-08-25,135138.484375,142000.0,144500.0,139500.0,142500.0,806947
2021-08-26,134662.640625,141500.0,145000.0,140500.0,142000.0,806681
2021-08-27,133711.0,140500.0,141000.0,139000.0,141000.0,593281
2021-08-30,132759.296875,139500.0,142000.0,139000.0,141500.0,740133
2021-08-31,135138.484375,142000.0,142000.0,138000.0,139500.0,1035617
2021-09-01,134186.828125,141000.0,143000.0,140000.0,143000.0,758432
2021-09-02,132759.296875,139500.0,141000.0,139000.0,140500.0,667898
2021-09-03,146082.8125,153500.0,154500.0,140500.0,142000.0,4043334
2021-09-06,140848.5625,148000.0,151500.0,146500.0,151000.0,1611682
2021-09-07,140372.734375,147500.0,150500.0,147500.0,149000.0,757429
2021-09-08,137041.84375,144000.0,147000.0,143000.0,146500.0,1296091
2021-09-09,134662.640625,141500.0,145500.0,141500.0,144000.0,955728
2021-09-10,139421.015625,146500.0,151000.0,143000.0,143000.0,1851877
